frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.reset,frame.len,data.len,ip.ttl,tcp.window_size,tcp.ack,http.request.method,http.response.code
"Dec 31, 1969 18:00:02.157591000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.157643000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.157780000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.157973000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.158109000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.158383000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.158519000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.158792000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.158928000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.159202000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.159338000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.159611000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.159748000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.160021000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.160157000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.160431000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.160567000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.160840000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.160976000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.161250000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.161386000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.161659000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.161796000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.162069000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.162205000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.162479000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.162615000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.162888000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.163024000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.163298000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.163694000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.163830000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.163909000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.164045000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.164151000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.164288000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.164527000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.164663000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.164936000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.165072000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.165346000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.165482000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.165755000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.165892000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.166165000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.166301000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.166575000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.166711000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.166984000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
"Dec 31, 1969 18:00:02.167120000 CST",,,,,,,,,,,"14",,,,,,
"Dec 31, 1969 18:00:02.167394000 CST","192.168.1.3","192.168.1.4","17",,,"49153","9000",,,,"320","256","64",,,,
